startup_name,startup_amount_invested,startup_article_publication_date,startup_more_inf_url,startup_levée_de_fonds,startup_founders,startup_Number_of_employees,startup_web_site_url,startup_linkedin_url,startup_facebook_url,startup_instagram_url,startup_phone,startup_email,startup_phrasechoc
Coorganiz,"1,2",05/09/2019,https://www.jaimelesstartups.fr/news/coorganiz-levee-de-fonds/,"Levée de fonds : 1,2",Fondateurs : Emma Berger et Anne Béatrice Sonnier,Nombre d'employés : 12,https://coorganiz.com/fr/?utm_source=JaimeLesStartups,,https://www.facebook.com/Coorganiz.Fr/,,,,"COORGANIZ, APPLICATION D’ORGANISATION DE LA FAMILLE ET DE LA DÉPENDANCE, LÈVE 1,2 MILLION D’EUROS"
AZmed,1.2M,05/09/2019,https://www.jaimelesstartups.fr/news/azmed-levee-de-fonds/,Levée de fonds : 1.2M,"Fondateurs : Julien Vidal, Elie Zerbib-Attal, Alexandre Attia",Nombre d'employés : 10,http://azmed.co/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/18740694/,,,,,"AZMED LÈVE 1,2 MILLION D’EUROS POUR DEVENIR L’AIDE AU DIAGNOSTIC DE RÉFÉRENCE POUR LES MÉDECINS"
Trustpair,4,10/09/2019,https://www.jaimelesstartups.fr/news/trustpair-levee-de-fonds/,Levée de fonds : 4,"Fondateurs : Baptiste Collot, Alexandre Gillier, Simon Elcham",Nombre d'employés : 18,http://www.trustpair.fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/trustpair/,,,,,TRUSTPAIR LÈVE 4 MILLIONS D’EUROS POUR DEVENIR LE BRAS ARMÉ DES DIRECTIONS FINANCIÈRES
Alexyia,52 000€,09/10/2019,https://www.jaimelesstartups.fr/alexyia-plateforme-opportunite-daffaire-b2b/,Levée de fonds : 52 000€,Fondateurs : Mermet Eric,Nombre d'employés : 3,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Alexyia,https://www.linkedin.com/company/20563139/admin/,https://www.facebook.com/Alexyia.LeadX/,,,,LA STARTUP ALEXYIA EST UNE PLATEFORME D’OPPORTUNITÉ D’AFFAIRE POUR LES ENTREPRISES. LES STARTUPS PEUVENT Y VENDRE ET/OU ACHETER DES SERVICES !
MeilleureCopro,3 millions d'euros,02/10/2019,https://www.jaimelesstartups.fr/news/meilleurecopro-levee-de-fonds/,Levée de fonds : 3 millions d'euros,Fondateurs : Edouard-Jean Clouet,Nombre d'employés : 20,https://www.meilleurecopro.com/?utm_source=JaimeLesStartups,,,,,,MEILLEURECOPRO LÈVE 3 MILLIONS D’EUROS POUR FAIRE BAISSER LES CHARGES DE COPROPRIÉTÉ
HOGGO,2.4M€,19/09/2019,https://www.jaimelesstartups.fr/news/hoggo-levee-de-fonds/,Levée de fonds : 2.4M€,Fondateurs : Anna Rossin et Louis Fourrier,Nombre d'employés : 25,http://hoggo.com/?utm_source=JaimeLesStartups,,,,,,"HOGGO, L'ASSURTECH FRANÇAISE QUI BOUSCULE LES CODES DU COURTAGE EN ASSURANCE !"
Hubstairs,3 250 000€,11/10/2019,https://www.jaimelesstartups.fr/news/hubstairs/,Levée de fonds : 3 250 000€,Fondateurs : Alexandre de VIgan,Nombre d'employés : 55,https://www.hubstairs.com/fr-FR/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/hubstairs/,https://www.facebook.com/hubstairs,,,,"HUBSTAIRS A DÉVELOPPÉ UNE SOLUTION DE CRÉATION DE CONTENUS VISUELS 3D, SPÉCIALISÉE DANS LA DÉCORATION"
Urgence Docteurs,1 000 000,30/09/2019,https://www.jaimelesstartups.fr/urgence-docteurs-consultation-par-video/,Levée de fonds : 1 000 000,Fondateurs : Mike Meimoun,,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Urgence%20Docteurs,,,,,,"LA STARTUP URGENCE DOCTEURS VOUS MET EN RELATION AVEC UN MEDECIN SOIT EN PHYSIQUE, SOIT EN TÉLÉCONSULTATION :"
Primelis,11 millions,25/09/2019,https://www.jaimelesstartups.fr/news/primelis-levee-de-fonds/,Levée de fonds : 11 millions,Fondateurs : Philippe El Khechen et Hillel Brodowicz,Nombre d'employés : 45,https://www.primelis.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/primelis/,https://www.facebook.com/primelisGroupe/,,,,LA STARTUP PRIMELIS LÈVE 11 MILLIONS D’EUROS POUR ACCÉLÉRER SUR LE MARCHÉ EUROPÉEN DU RÉFÉRENCEMENT WEB
Tilli,"1,2 M d'euros",07/10/2019,https://www.jaimelesstartups.fr/news/tilli-levee-de-fonds/,"Levée de fonds : 1,2 M d'euros",Fondateurs : Béryl De Labouchère,,https://tilli.fr/?utm_source=JaimeLesStartups,,,,,,"TILLI LÈVE 1,2 MILLIONS D'EUROS POUR SA SOLUTION DIGITALE DE RETOUCHE ET D’UPCYCLING"
Mt Pelerin,€2 millions,25/09/2019,https://www.jaimelesstartups.fr/news/mt-pelerin-financement-union-europeenne/,Levée de fonds : €2 millions,Fondateurs : Arnaud Salomon,Nombre d'employés : 10,https://www.mtpelerin.com/fr/chfr.html?utm_source=JaimeLesStartups,https://www.linkedin.com/company/mt-pelerin/,https://www.facebook.com/mtpelerin/,,,,MT PELERIN REÇOIT UNE FINANCEMENT DE L'UNION EUROPÉENNE POUR SON QUANTUM VAULT
LeHibou,6 M€,19/09/2019,https://www.jaimelesstartups.fr/lehibou-marketplace-de-consultants-independants/,Levée de fonds : 6 M€,Fondateurs : Christophe de Becdelievre,Nombre d'employés : 90,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=LeHibou,https://www.linkedin.com/company/lehiboucom/about/,https://www.facebook.com/leHiboucom/,,,,"LeHibou est une plateforme d'intermédiation et de services qui met en relation des freelances IT experts dans leur domaine avec des grandes entreprises. La plateforme fédère plus de 80 000 consultants indépendants et s’appuie sur une équipe de 80 collaborateurs répartis dans plusieurs bureaux en France (Paris, Bordeaux, Lyon, Nantes et Toulouse) et à l’Ile Maurice, ainsi qu'en Belgique et au Canada. LeHibou prévoit un chiffre d’affaires de 82 millions d’euros en 2023, et 120M€ en 2024."
Winalist,500 000 €,08/10/2019,https://www.jaimelesstartups.fr/news/winalist-levee-de-fonds/,Levée de fonds : 500 000 €,Fondateurs : Nicolas Manfredini,Nombre d'employés : 9,https://www.winalist.fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/winalist/,https://www.facebook.com/winalist/,,,,ON LÈVE UN DEMI-MILLION D'EUROS ET ON A PLEIN DE PROJETS EN TÊTE ! YOUHOU !
Véritable,3M €,17/10/2019,https://www.jaimelesstartups.fr/news/veritable-levee-de-fonds/,Levée de fonds : 3M €,Fondateurs : Nicolas Géhin et Chloé Verneuil,Nombre d'employés : 25,https://www.veritable-potager.fr/fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/veritable,https://www.facebook.com/VeritableGarden/,,,,LA STARTUP LYONNAISE VÉRITABLE RÉALISE UNE LEVÉE DE FONDS DE 3M €
Konverso,2 millions,21/10/2019,https://www.jaimelesstartups.fr/news/konverso-levee-de-fonds/,Levée de fonds : 2 millions,Fondateurs : Bertrand Lafforgue et Amédée Potier,Nombre d'employés : 18,https://www.konverso.ai/?utm_source=JaimeLesStartups,,,,,,BOTS 2.0: KONVERSO FINALISE UNE LEVÉE DE FONDS GLOBALE DE 2M€
Groover,1.3M,21/10/2019,https://www.jaimelesstartups.fr/news/groover-levee-de-fonds/,Levée de fonds : 1.3M,"Fondateurs : Romain Palmieri, Dorian Perron, Rafael Cohen, Jonas Landman",Nombre d'employés : 10,https://groover.co/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/18376318/,https://www.facebook.com/HeyGroover/,,,,"GROOVER LÈVE 1,3 MILLION D’EUROS POUR DONNER LE POUVOIR AUX ARTISTES DE FAIRE CONNAÎTRE LEUR MUSIQUE"
Nap&Up,200 000,16/10/2019,https://www.jaimelesstartups.fr/napup-cocon-sieste-au-boulot/,Levée de fonds : 200 000,Fondateurs : Camille Desclée et Gabrielle de Valmont,Nombre d'employés : 5,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Nap&Up,http://linkedin.com/company/napandup,https://www.facebook.com/napandup/,,,,LA STARTUP NAP&UP A CRÉÉ UN COCON AFIN DE POUVOIR FAIRE UNE SIESTE SUR SON LIEU DE TRAVAIL. ET C’EST BEAU !
Where You Love,200K + 1M,16/10/2019,https://www.jaimelesstartups.fr/where-you-love-assistant-agence-immobilier-ux/,Levée de fonds : 200K + 1M,Fondateurs : Alexandre Bonhomme/ Benoit Palabre/ Julian Nunez Lopez/ Thibault Randolphe/ Philippe Perez de san roman,Nombre d'employés : 17,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Where%20You%20Love,https://www.linkedin.com/company/whereyoulovefrance/?viewAsMember=true,https://www.facebook.com/whereyoulovefrance/?ref=aymt_homepage_panel&eid=ARCLRsVxiIEhVX0U1KGkGPO0F2eIjbT39MUZ01NWJeeZEVpbk0cs6ywO1qwruw95MIeUogRAYnwpTlvK,,,,LA STARTUP WHERE YOU LOVE EST UN ASSISTANT QUI VOUS AIDE À VOUS POSER LES BONNES QUESTIONS LORS DES DÉMARCHES IMMOBILIÈRES.
VISIO-AVOCATS,600000,23/10/2019,https://www.jaimelesstartups.fr/visio-avocats-plateforme-visioconference-avec-avocat/,Levée de fonds : 600000,Fondateurs : de CONTENCIN Xavier,Nombre d'employés : 4,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=VISIO-AVOCATS,https://www.linkedin.com/company/visio-avocats,https://www.facebook.com/visioavocats,,,,LA STARTUP VISIO-AVOCATS EST UNE PLATEFORME POUR QUE LES PARTICULIERS PUISSENT CONSULTER L’AVOCAT QU’IL LEUR FAUT PAR VISIOCONFÉRENCE.
hemea,5,22/10/2019,https://www.jaimelesstartups.fr/news/hemea-levee-de-fonds/,Levée de fonds : 5,Fondateurs : Matthieu Burin et Arnaud Kleinpeter,Nombre d'employés : 34,https://www.hemea.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/hemea/?viewAsMember=true,https://www.facebook.com/hemea.fr/,,,,TRAVAUXLIB LÈVE 5 MILLIONS D’EUROS ET DEVIENT HEMEA
RYAX TECHNOLOGIES,"1,34M€",25/10/2019,https://www.jaimelesstartups.fr/news/ryax-technologies-levee-de-fonds/,"Levée de fonds : 1,34M€","Fondateurs : Andry RAZAFINJATOVO, David GLESSER, Yiannis GEORGIOU",Nombre d'employés : 10,https://ryax.tech/fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/ryax-technologies/,,,,,"RYAX TECHNOLOGIES LÈVE 1,34 MILLION D’EUROS POUR LA MISE SUR LE MARCHÉ DE SA PLATEFORME DE SMART DATA"
Audion,"1,1M",17/10/2019,https://www.jaimelesstartups.fr/news/audion-levee-de-fonds/,"Levée de fonds : 1,1M","Fondateurs : Kamel El Hadef, Arthur Larrey",Nombre d'employés : 12,https://audi-on.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/audionagency/,,,,,AUDION LÈVE 1M1 POUR SA TECHNOLOGIE DE PUBLICITÉ DÉDIÉE AU PODCAST
UntieNots,"1,7 millions",25/10/2019,https://www.jaimelesstartups.fr/news/untienots-levee-de-fonds/,"Levée de fonds : 1,7 millions",,,https://http//www.untienots.com/?utm_source=JaimeLesStartups,,,,,,"UNTIENOTS LÈVE 1,7 M€ AUPRÈS D’ALTAVIA POUR ACCOMPAGNER SA FORTE CROISSANCE"
finfrog,3 millions €,14/11/2019,https://www.jaimelesstartups.fr/news/finfrog-levee-de-fonds/,Levée de fonds : 3 millions €,Fondateurs : Riadh Alimi,Nombre d'employés : 12,https://finfrog.fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/finfrog/,https://fr-fr.facebook.com/finfrog.fr/,,,,LA FINTECH FINFROG LÈVE 3 MILLIONS D’EUROS POUR METTRE L’INTELLIGENCE ARTIFICIELLE AU SERVICE DU POUVOIR D’ACHAT DES FRANÇAIS
mycoocoon,1 000 000 €,15/11/2019,https://www.jaimelesstartups.fr/mycoocoon-espace-detente-couleur/,Levée de fonds : 1 000 000 €,Fondateurs : valerie corcias - dominique kelly,Nombre d'employés : 3,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=mycoocoon,https://www.linkedin.com/in/valerie-corcias-218b5a13/,https://www.facebook.com/mycoocoon/,,,,LA STARTUP MYCOOCOON COMMERCIALISE DES ESPACES DE DÉTENTE COLORISÉS ET TRAVAILLÉ POUR CRÉER DES EXPÉRIENCES UNIQUES.
OuiCar,28 millions d'€,08/11/2019,https://www.jaimelesstartups.fr/ouicar-uberisation-location-voiture/,Levée de fonds : 28 millions d'€,Fondateurs : Marion Carrette,Nombre d'employés : 50,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=OuiCar,https://www.linkedin.com/company/ouicar/,https://www.facebook.com/Ouicar/,,,,LA STARTUP OUICAR EST UNE PLATEFORME DE LOCATION DE VOITURES ENTRE PARTICULIERS.
éthi’Kdo,120000,04/11/2019,https://www.jaimelesstartups.fr/ethikdo-la-carte-cadeau-ethique-ecologique-et-solidaire/,Levée de fonds : 120000,"Fondateurs : Séverin PRATS, Croix-Rouge Insertion, Fédération ENVIE, Dream ACT SAS, Label emmaüs, Solidar Monde / Artisans du Monde, ESS Expertise, La compagnie des cadeaux, 5 particuliers sympathisants",Nombre d'employés : 6,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=%C3%A9thi%E2%80%99Kdo,https://www.linkedin.com/company/ethikdo/,https://www.facebook.com/ethikdo.co,,,,LA STARTUP ÉTHI’KDO A CRÉÉ UN SUPER CONCEPT DE CARTE CADEAU ÉCOLOGIQUE ET SURTOUT UN SUPER CADEAU NOËL !
Arkolia Energies,15 millions,07/11/2019,https://www.jaimelesstartups.fr/arkolia-energies-integrateur-d-energies-renouvelables/,Levée de fonds : 15 millions,Fondateurs : Laurent Bonhomme et Jean-Sébastien Bessière,Nombre d'employés : 80,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Arkolia%20Energies,https://www.linkedin.com/company/7575753/,https://www.facebook.com/ArkoliaEnR/,,,,LA STARTUP ARKOLIA ENERGIES PROPOSE AUX ENTREPRISES DES SOLUTIONS DE PRODUCTION D’ÉNERGIES VERTES.
WITTYFIT,500000,13/11/2019,https://www.jaimelesstartups.fr/news/wittyfit/,Levée de fonds : 500000,Fondateurs : Thomas CORNET et Samuel DEWAVRIN,,https://wittyfit.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/wittyfit,,,,,WITTYFIT ANNONCE UNE PREMIÈRE LEVÉE DE FONDS DE 500 000 EUROS
TrainMe,400 K€,12/11/2019,https://www.jaimelesstartups.fr/trainme-reservation-coach-sportif/,Levée de fonds : 400 K€,Fondateurs : Gatien Letartre et Anatole Saby,Nombre d'employés : 11,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=TrainMe,https://www.linkedin.com/company/9477730,https://www.facebook.com/trainme.co/,,,,"LA STARTUP TRAINME VOUS PERMET DE RÉSERVER LE COACH SPORTIF DONT VOUS AVEZ BESOIN. ET ÇA TOMBE BIEN, C’EST BIENTÔT LES FÊTES !"
Coopeo,500000,04/11/2019,https://www.jaimelesstartups.fr/coopeo-gestion-des-factures-fournisseurs-et-commandes/,Levée de fonds : 500000,Fondateurs : Cyrille jegoux,Nombre d'employés : 14,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Coopeo,https://www.linkedin.com/company/11111976/admin/,https://www.facebook.com/CoopeoAppli/,,,,LA STARTUP COOPEO ANALYSE VOS FACTURES FOURNISSEURS POUR VOUS DONNER UNE NOUVELLE VISIBILITÉ SUR VOTRE ACTIVITÉ.
Hidden Market,1 million d'euros,13/11/2019,https://www.jaimelesstartups.fr/news/hidden-market-levee-de-fonds/,Levée de fonds : 1 million d'euros,"Fondateurs : Thomas Bodin, Terence Bucher, Julien Bardey et Jean-Pierre Gauthier",,https://hidden.market/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/hiddenmarket/,,,,,HIDDEN.MARKET LÈVE 1 MILLION D’EUROS POUR AIDER LES ENTREPRISES À FAIRE FACE AUX DIFFICULTÉS DU RECRUTEMENT IT
CoachHub,16 millions,13/11/2019,https://www.jaimelesstartups.fr/news/coachhub-levee-de-fonds/,Levée de fonds : 16 millions,Fondateurs : Yannis et Matti Niebelschütz,,https://www.coachhub.io/?utm_source=JaimeLesStartups,,,,,,FORMATION PROFESSIONNELLE : COACHHUB LÈVE 16 MILLIONS D'EUROS POUR ACCÉLÉRER L’EXPANSION DE SA PLATEFORME DE COACHING DIGITAL
Whisperies,600 000 €,18/11/2019,https://www.jaimelesstartups.fr/news/whisperies-partenaire-du-secretariat-du-pere-noe%cc%88l-la-poste/,Levée de fonds : 600 000 €,Fondateurs : Adeline Fradet,Nombre d'employés : 4,https://www.whisperies.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/10589078,https://www.facebook.com/whisperies,,,,WHISPERIES PARTENAIRE DU SECRÉTARIAT DU PÈRE NOËL LA POSTE
Whympr,400 000€,06/12/2019,https://www.jaimelesstartups.fr/whympr-appli-sortie-en-motagne/,Levée de fonds : 400 000€,"Fondateurs : Tim MacLean, Xavier Bougouin",Nombre d'employés : 5,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Whympr,https://www.linkedin.com/company/whympr,https://www.facebook.com/Whympr,,,,LA STARTUP WHYMPR A CRÉÉ L’APPLICATION PARFAITE POUR VOS SORTIES EN MONTAGNE.
SAYYA,300 000 €,19/11/2019,https://www.jaimelesstartups.fr/news/sayya-levee-de-fonds/,Levée de fonds : 300 000 €,,,https://sayya.fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/sayya/,https://www.facebook.com/EspaceSayya/,,,,"SAYYA, ACTEUR RÉFÉRENT DANS LE DOMAINE DU BIEN-ÊTRE EN ENTREPRISE ET DU DÉVELOPPEMENT PERSONNEL, ANNONCE UNE LEVÉE DE FONDS DE 300 000 EUROS."
UpFactor,"2,5M€",04/12/2019,https://www.jaimelesstartups.fr/news/upfactor-levee-de-fonds/,"Levée de fonds : 2,5M€",Fondateurs : Didier MIGNERY,Nombre d'employés : 15,https://upfactor.fr/?utm_source=JaimeLesStartups,,,,,,"UPFACTOR®, NOUVEL ACTEUR DE LA PROPTECH, LÈVE 2,5 M€ POUR METTRE LA SURÉLÉVATION DES BÂTIMENTS AU SERVICE DE LA RÉNOVATION ÉNERGÉTIQUE"
Brigad,> 10 millions €,06/12/2019,https://www.jaimelesstartups.fr/brigad-recrutement-personel-de-restauration/,Levée de fonds : > 10 millions €,Fondateurs : Florent Malbranche - Jean Lebrument,Nombre d'employés : 90,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Brigad,https://www.linkedin.com/company/10385541,https://www.facebook.com/brigad.co,,,,LA STARTUP BRIGAD PERMET AUX PROFESSIONELS DE LA RESTAURATION DE RECRUTER FACILEMENT.
Equisense,3 Millions €,10/12/2019,https://www.jaimelesstartups.fr/news/equisense/,Levée de fonds : 3 Millions €,Fondateurs : Benoit Blancher et Camille Saute,,https://equisense.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/equisense/,https://www.facebook.com/equisenseappFR,,,,
Finalgo,550 000 €,04/12/2019,https://www.jaimelesstartups.fr/news/finalgo-levee-de-fonds/,Levée de fonds : 550 000 €,Fondateurs : Arnaud Guillaume et Bertran Hellion,Nombre d'employés : 7,https://www.finalgo.fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/finalgo/,,,,,FINALGO VIENT D'EFFECTUER UNE LEVÉE DE FONDS DE 550 000 € AUPRÈS DE PLUSIEURS ACTEURS.
